sorteo,ganadores,orden,tiempo
1,4,8,39650
2,9,12,49470
3,3,13,49507
4,4,7,33700
5,9,14,56984
6,1,10,42338
7,1,11,48652
8,1,13,53549
9,2,8,40451
10,4,10,43430
11,2,12,46459
12,2,10,44155
13,1,11,46388
14,4,8,37905
15,1,6,31118
16,1,8,34828
17,2,9,35410
18,1,7,33087
19,3,7,32608
20,1,9,34026
21,12,13,50520
22,1,11,45099
23,1,6,29979
24,1,5,24076
25,1,11,49222
26,2,10,42164
27,2,8,38180
28,1,8,35968
29,1,7,29990
30,5,12,45947
31,2,8,33783
32,1,7,33618
33,2,8,34772
34,1,8,33482
35,1,8,33244
36,1,9,37893
37,12,8,38505
38,2,10,43883
39,1,8,32576
40,1,8,30845
41,1,8,36606
42,1,10,39331
43,3,10,43103
44,1,10,42428
45,16,11,50061
46,1,8,36256
47,1,10,44774
48,1,11,43402
49,8,7,35191
50,1,6,29765
51,1,7,30677
52,2,7,33236
53,4,12,45278
54,9,7,34728
55,4,6,31705
56,4,9,40247
57,1,6,31902
58,1,10,35771
59,1,7,33884
60,2,10,43278
61,2,12,51536
62,1,10,45050
63,1,10,43425
64,2,11,44547
65,1,9,41942
66,1,9,38666
67,22,14,57581
68,3,8,34537
69,2,11,43096
70,1,10,38642
71,2,9,37728
72,1,7,31713
73,1,10,38504
74,4,9,44006
75,2,7,31448
76,11,14,53920
77,1,9,41721
78,8,10,45398
79,1,8,36600
80,11,11,49960
81,1,8,36486
82,1,12,49277
83,3,11,47692
84,1,8,33790
85,3,8,36601
86,1,8,33552
87,2,12,43843
88,2,23,46670
89,8,36,72035
90,1,22,49291
91,1,26,49503
92,2,25,51698
93,1,15,31101
94,1,28,50707
95,1,20,41316
96,3,29,57099
97,2,20,41636
98,1,15,34578
99,1,19,38077
100,1,25,49572
